,place,lat,lng
0,JARDIM DA PENHA,-20.2850907,-40.2960984
1,MATA DA PRAIA,-20.2751185,-40.2922686
2,PONTAL DE CAMBURI,-20.2900766,-40.2980132
3,REPÚBLICA,-20.270654,-40.29290690000001
4,GOIABEIRAS,-20.2724733,-40.30631
5,ANDORINHAS,-20.287964,-40.3056718
6,CONQUISTA,-20.2781344,-40.323538
7,NOVA PALESTINA,-20.272615,-40.3280037
8,DA PENHA,-20.3293826,-40.2871471
9,TABUAZEIRO,-20.2944114,-40.322262
10,BENTO FERREIRA,-20.3142092,-40.3079257
11,SÃO PEDRO,-20.2819621,-40.3362962
12,SANTA MARTHA,-20.2873442,-40.3101388
13,SÃO CRISTÓVÃO,-20.2912323,-40.31639879999999
14,MARUÍPE,-20.296341,-40.31971
15,GRANDE VITÓRIA,-20.3331372,-40.3869728
16,SÃO BENEDITO,-20.3010893,-40.3069481
17,ILHA DAS CAIEIRAS,-20.2774151,-40.3350205
18,SANTO ANDRÉ,-20.2793443,-40.332469
19,SOLON BORGES,-20.2613736,-40.2954601
20,BONFIM,-20.3005529,-40.3133294
21,JARDIM CAMBURI,-20.2592187,-40.26545309999999
22,MARIA ORTIZ,-20.258305,-40.2999279
23,JABOUR,-20.2584011,-40.29290690000001
24,ANTÔNIO HONÓRIO,-20.2631207,-40.2980132
25,RESISTÊNCIA,-20.2729812,-40.3177959
26,ILHA DE SANTA MARIA,-20.3170841,-40.3177959
27,JUCUTUQUARA,-20.3085919,-40.31971
28,MONTE BELO,-20.3152551,-40.3133294
29,MÁRIO CYPRESTE,-20.3195399,-40.3554284
30,SANTO ANTÔNIO,-20.3096593,-40.35351550000001
31,BELA VISTA,-20.3037218,-40.348414
32,PRAIA DO SUÁ,-20.3130059,-40.2992897
33,SANTA HELENA,-20.3095138,-40.2941835
34,ITARARÉ,-20.2953996,-40.3075863
35,INHANGUETÁ,-20.299528,-40.3458631
36,UNIVERSITÁRIO,-20.2956027,-40.3401232
37,SÃO JOSÉ,-21.0272432,-41.655112
38,REDENÇÃO,-20.2791758,-40.3286416
39,SANTA CLARA,-20.37034,-40.35000830000001
40,CENTRO,-20.3196699,-40.338479
41,PARQUE MOSCOSO,-20.3206188,-40.3426743
42,DO MOSCOSO,-20.3149307,-40.3433121
43,SANTOS DUMONT,-20.3567276,-40.3184339
44,CARATOÍRA,-20.3153468,-40.3528778
45,ARIOVALDO FAVALESSA,-20.3146828,-40.35638489999999
46,ILHA DO FRADE,-20.3027641,-40.2844963
47,GURIGICA,-20.3059062,-40.3050336
48,JOANA D´ARC,-20.2843585,-40.31651979999999
49,CONSOLAÇÃO,-20.3062424,-40.3126913
50,PRAIA DO CANTO,-20.2996261,-40.2922686
51,BOA VISTA,-20.8372744,-41.1763445
52,MORADA DE CAMBURI,-20.2720492,-40.2967367
53,SANTA LUÍZA,-20.2914708,-40.3018426
54,SANTA LÚCIA,-20.3024142,-40.2999279
55,BARRO VERMELHO,-20.2949779,-40.2980132
56,ESTRELINHA,-20.293488,-40.3477763
57,FORTE SÃO JOÃO,-20.320574,-40.3229
58,FONTE GRANDE,-20.3134557,-40.33757190000001
59,ENSEADA DO SUÁ,-20.3194015,-40.2960984
60,SANTOS REIS,-20.2838914,-40.3337448
61,PIEDADE,-20.3141932,-40.3404421
62,JESUS DE NAZARETH,-20.3188643,-40.3024808
63,SANTA TEREZA,-19.9368278,-40.5983289
64,CRUZAMENTO,-20.310337,-40.322262
65,ILHA DO PRÍNCIPE,-20.3226121,-40.3509648
66,ROMÃO,-20.3125183,-40.3254519
67,COMDUSA,-20.2872137,-40.3350205
68,SANTA CECÍLIA,-20.3041278,-40.320348
69,VILA RUBIM,-20.3197784,-40.3468197
70,DE LOURDES,-20.307199,-40.3158817
71,DO QUADRO,-20.3170592,-40.35000830000001
72,DO CABRAL,-20.3155332,-40.3477763
73,HORTO,-20.3096158,-40.3104579
74,SEGURANÇA DO LAR,-20.263254,-40.2964175
75,ILHA DO BOI,-20.4176812,-34.5631088
76,FRADINHOS,-20.3069131,-40.3280037
77,NAZARETH,-20.3188643,-40.3024808
78,AEROPORTO,-20.2616507,-40.2833315
79,ILHAS OCEÂNICAS DE TRINDADE,-20.5080654,-29.3308425
80,PARQUE INDUSTRIAL,-20.3726406,-34.5522692
